,City,Cuisines,Cost,Tablebooking,Onlinedelivery,deliverynow,Price_range,rating,rating_color,rating_text,Votes
349,90,67,40,0,0,0,3,3.6,5,2,30
350,91,1741,40,0,0,0,3,4.4,1,5,981
351,91,948,45,0,0,0,3,4.5,0,1,1151
352,91,91,35,0,0,0,3,4.7,0,1,1341
353,91,1030,50,0,0,0,4,4.3,1,5,782
354,91,1301,40,0,0,0,3,4.6,0,1,1293
355,91,267,100,0,0,0,4,4.6,0,1,2324
356,91,492,45,0,0,0,3,4.3,1,5,910
357,91,1031,50,0,0,0,4,4.4,1,5,886
358,91,153,35,0,0,0,3,4.6,0,1,1293
359,91,141,10,0,0,0,1,4.4,1,5,570
360,91,6,60,0,0,0,4,4.4,1,5,1685
361,91,924,40,0,0,0,3,4.8,0,1,1699
362,91,93,25,0,0,0,2,4.9,0,1,1457
363,91,13,35,0,0,0,3,4.9,0,1,1252
364,91,491,25,0,0,0,2,4.7,0,1,1412
365,91,1739,25,0,0,0,2,3.6,5,2,432
366,91,1211,40,0,0,0,3,4.2,1,5,568
367,91,27,25,0,0,0,2,4.4,1,5,797
368,91,1825,40,0,0,0,3,4.4,1,5,1158
369,91,1644,40,0,0,0,3,4.4,1,5,1998
370,92,1209,30,0,0,0,3,4.4,1,5,381
371,97,1270,120,0,0,0,4,2.6,2,0,16
372,98,368,20,0,0,0,2,3.4,2,0,19
373,99,1229,25,0,0,0,2,4.2,1,5,635
374,99,302,40,0,0,0,3,4.9,0,1,2238
375,99,1104,10,0,0,0,1,4.6,0,1,792
376,99,159,10,0,0,0,1,4.5,0,1,828
377,99,1105,40,0,0,0,3,3.7,5,2,292
378,99,1788,25,0,0,0,2,3.9,5,2,502
379,99,300,25,0,0,0,2,3.7,5,2,559
380,99,1168,25,0,0,0,2,4.2,1,5,1268
381,99,1693,40,0,0,0,3,4.1,1,5,669
382,99,809,40,0,0,0,3,4.4,1,5,900
383,99,1126,25,0,0,0,2,4.3,1,5,765
384,99,99,40,0,0,0,3,4.0,1,5,1270
385,99,1079,25,0,0,0,2,4.1,1,5,502
386,99,1667,40,0,0,0,3,3.9,5,2,724
387,99,495,40,0,0,0,3,3.5,5,2,479
388,99,269,25,0,0,0,2,4.2,1,5,591
389,99,325,40,0,0,0,3,4.4,1,5,1408
390,99,494,40,0,0,0,3,4.3,1,5,905
391,99,936,10,0,0,0,1,4.7,0,1,816
392,99,1663,40,0,0,0,3,4.4,1,5,747
393,100,273,20,0,0,0,2,3.7,5,2,351
394,101,310,10,0,0,0,1,3.7,5,2,104
395,101,16,45,0,0,0,3,3.5,5,2,83
396,101,153,10,0,0,0,1,3.6,5,2,91
397,101,1619,0,0,0,0,1,3.6,5,2,59
398,101,1104,40,0,0,0,3,3.7,5,2,222
399,101,21,30,0,0,0,3,3.6,5,2,121
400,101,497,10,0,0,0,1,3.5,5,2,93
